"centerLong","centerLat","cluster"
-93.27905,44.90584,4
-93.28936,44.9492,1
-93.28949,44.93679,1
-93.25122,44.94921,4
-93.28083,44.96932,1
-93.29739,44.9542,1
-93.25388,44.97563,2
-93.24487,44.94795,4
-93.2537,44.94045,4
-93.22896,44.93231,4
-93.26755,44.93506,4
-93.2372,44.98559,2
-93.29454,44.94041,1
-93.31077,44.99787,3
-93.23807,44.94475,4
-93.27793,44.92415,4
-93.25114,44.95823,2
-93.29891,44.94836,1
-93.27429,44.98078,2
-93.27429,44.98078,2
-93.28743,44.95195,1
-93.26008,44.98512,2
-93.22726,44.89934,4
-93.26257,44.97082,2
-93.30695,45.00872,3
-93.27787,44.95463,1
-93.25985,44.97623,2
-93.22904,44.98783,2
-93.30291,45.00176,3
-93.2964,45.0026,3
-93.2563,44.94921,1
-93.27754,44.89561,4
-93.26424,44.9609,1
-93.23538,44.98098,2
-93.3057,44.99361,3
-93.22612,44.96098,2
-93.24932,44.94836,4
-93.24738,44.94213,4
-93.24485,44.94383,4
-93.26912,44.9795,2
-93.23167,44.98337,2
-93.24865,44.95285,2
-93.30001,45.01318,3
-93.20892,44.92065,4
-93.26521,44.9134,4
-93.29189,44.95099,1
-93.27021,44.96005,1
-93.23619,44.89894,4
-93.24859,44.95823,2
-93.23211,44.9314,4
-93.30019,44.94836,1
-93.27624,44.89426,4
-93.23072,44.98456,2
-93.27429,44.98078,2
-93.21648,44.90809,4
-93.28554,44.95015,1
-93.2474,44.94922,4
-93.27316,44.97996,2
-93.28518,44.97217,1
-93.30132,44.99149,3
-93.27316,44.97996,2
-93.22883,45.00363,2
-93.27793,44.92234,4
-93.26615,44.98081,2
-93.27429,44.98078,2
-93.25566,44.94564,4
-93.28148,45.01906,3
-93.27188,44.98006,2
-93.24739,44.95101,4
-93.25816,44.97824,2
-93.28825,44.93134,1
-93.2165,44.90628,4
-93.29148,45.04661,3
-93.29307,45.01944,3
-93.25244,44.95464,1
-93.25244,44.94044,4
-93.31076,45.0015,3
-93.23028,44.97309,2
-93.28952,45.00086,3
-93.28809,44.9492,1
-93.24485,44.95721,2
-93.25873,44.93684,4
-93.21427,44.97188,2
-93.26109,44.96225,2
-93.2423,44.94383,4
-93.26912,45.0214,3
-93.26766,44.95642,1
-93.27377,44.97622,2
-93.28093,45.01579,3
-93.24478,44.92423,4
-93.30191,45.01951,3
-93.24168,44.98801,2
-93.22992,44.95467,2
-93.26617,45.01057,3
-93.27534,44.95284,1
-93.23966,44.96275,2
-93.27429,44.98078,2
-93.29584,44.9568,1
-93.25817,44.988,2
-93.26692,44.97332,2
-93.21262,44.97123,2
-93.30159,45.0375,3
-93.22694,44.99047,2
-93.27933,44.96344,1
-93.27932,44.96704,1
-93.22289,44.96974,2
-93.27186,44.98657,2
-93.23807,44.94475,4
-93.26181,44.9627,2
-93.29754,44.98995,3
-93.23514,44.94837,4
-93.26005,44.95643,1
-93.24482,45.00525,2
-93.24682,44.99005,2
-93.25755,45.00581,3
-93.23538,44.98098,2
-93.2191,44.94926,4
-93.2191,44.94758,4
-93.28953,45.01132,3
-93.28126,44.96,1
-93.27252,44.97833,2
-93.3007,44.99023,3
-93.2194,44.97027,2
-93.27536,44.95015,1
-93.27429,44.98078,2
-93.24423,44.94474,4
-93.24736,45.0084,3
-93.23393,44.98694,2
-93.25239,44.92958,4
-93.24727,45.01948,3
-93.25241,44.95643,2
-93.30828,45.02136,3
-93.30571,45.01593,3
-93.28126,44.97157,1
-93.28434,44.9386,1
-93.25313,44.96273,2
-93.28991,45.01491,3
-93.25115,44.97447,2
-93.25204,44.99031,2
-93.26311,45.01054,3
-93.25109,44.96181,2
-93.24468,45.01088,3
-93.20758,44.9063,4
-93.24738,44.94213,4
-93.29432,45.01764,3
-93.29739,44.9542,1
-93.24679,44.97338,2
-93.24736,45.03469,3
-93.24737,44.94043,4
-93.29689,44.96494,1
-93.27428,44.97998,2
-93.25748,44.96393,2
-93.28102,44.97449,1
-93.2506,44.96965,2
-93.27188,44.98006,2
-93.28802,45.01399,3
-93.25872,44.92783,4
-93.25246,45.00553,3
-93.25274,44.98595,2
-93.30443,45.00467,3
-93.24557,44.98309,2
-93.27431,44.97449,2
-93.27237,44.97563,2
-93.29369,45.01313,3
-93.28019,44.98504,2
-93.23472,44.95108,4
-93.20324,44.90827,4
-93.25112,44.92778,4
-93.29559,45.01946,3
-93.22569,44.94046,4
-93.28801,44.96002,1
-93.29827,44.94881,1
-93.26076,44.94836,1
-93.23985,44.9834,2
-93.26886,44.97871,2
-93.28952,45.00086,3
-93.29637,44.94836,1
-93.25505,44.94723,4
-93.26259,44.95642,1
-93.24091,44.96336,2
-93.28952,45.00086,3
-93.25622,44.98479,2
-93.24301,45.01218,3
-93.27713,44.96806,1
-93.26475,44.97043,2
-93.27624,44.89426,4
-93.26441,44.93596,4
-93.22288,44.97079,2
-93.29255,44.94836,1
-93.29258,44.99061,3
-93.23586,44.99292,2
-93.28156,44.9958,3
-93.30089,44.94213,1
-93.28087,44.98882,3
-93.2474,44.94565,4
-93.23339,44.93682,4
-93.30743,44.95126,1
-93.22814,45.0268,3
-93.25166,45.01316,3
-93.28952,45.00086,3
-93.28139,44.94213,1
